mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11198234558105469,0.01710231975081136,0.010713863372802734,0.0017193600581413135,20,2,5,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8041958041958042,0.8181818181818182,0.8169014084507042,0.7887323943661971,0.8169014084507042,0.8089825667290456,0.011340413678445937,97
0.2277890682220459,0.03434914883169507,0.013222551345825196,0.0020910109099054708,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8041958041958042,0.8111888111888111,0.8028169014084507,0.795774647887324,0.823943661971831,0.8075839653304442,0.009532041760754385,99
0.38671073913574217,0.01239467334739797,0.02262535095214844,0.0044914156183225385,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8181818181818182,0.8181818181818182,0.8028169014084507,0.8098591549295775,0.823943661971831,0.8145966709346991,0.007406481364394142,88
0.10557799339294434,0.008973152380233957,0.008076715469360351,0.001108826483178928,20,2,10,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8321678321678322,0.8461538461538461,0.8028169014084507,0.7746478873239436,0.8380281690140845,0.8187629272136314,0.026463242213677175,81
0.1996281623840332,0.0184773822484502,0.015126228332519531,0.0012441810444829614,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8461538461538461,0.8391608391608392,0.8098591549295775,0.7887323943661971,0.8309859154929577,0.8229784300206836,0.021014263913246158,66
0.4141534328460693,0.02914355850393402,0.02787299156188965,0.004450443903344061,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8321678321678322,0.8461538461538461,0.8169014084507042,0.7887323943661971,0.8450704225352113,0.8258051807347581,0.021351204693140675,36
0.09863219261169434,0.00949624817070574,0.007509183883666992,0.0007066921889096832,20,4,2,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8251748251748252,0.8461538461538461,0.8380281690140845,0.7746478873239436,0.8380281690140845,0.8244065793361568,0.025770357611730355,45
0.191908597946167,0.010494947882480057,0.014356613159179688,0.0028830937868492934,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8461538461538461,0.8391608391608392,0.8309859154929577,0.7887323943661971,0.8450704225352113,0.8300206835418102,0.021335278391174183,10
0.39135189056396485,0.021331764946497644,0.030155658721923828,0.005518384349550525,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.8391608391608392,0.8391608391608392,0.8309859154929577,0.7816901408450704,0.8309859154929577,0.8243967300305328,0.021664003908767705,52
0.0972470760345459,0.008073185965394736,0.00745391845703125,0.001294684741799197,20,4,5,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.8251748251748252,0.8461538461538461,0.8380281690140845,0.7746478873239436,0.8380281690140845,0.8244065793361568,0.025770357611730355,45
0.2099440097808838,0.001946443368957905,0.013929510116577148,0.0008666069341986516,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8461538461538461,0.8391608391608392,0.8309859154929577,0.7887323943661971,0.8450704225352113,0.8300206835418102,0.021335278391174183,10
0.4079686164855957,0.009923486955177412,0.024539089202880858,0.0032915049738425368,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.8391608391608392,0.8391608391608392,0.8309859154929577,0.7816901408450704,0.8309859154929577,0.8243967300305328,0.021664003908767705,52
0.11410684585571289,0.004797665785664904,0.010017919540405273,0.0018444385705696233,20,4,10,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.8321678321678322,0.8461538461538461,0.8309859154929577,0.7887323943661971,0.8309859154929577,0.8258051807347583,0.019404241969195216,34
0.2093625545501709,0.01728136691304351,0.014420604705810547,0.003073786780095159,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8461538461538461,0.8321678321678322,0.823943661971831,0.7887323943661971,0.8450704225352113,0.8272136314389835,0.020945830771441083,20
0.36452388763427734,0.03658787275964225,0.02363734245300293,0.004121343819804338,20,4,10,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.8321678321678322,0.8531468531468531,0.8169014084507042,0.7816901408450704,0.8450704225352113,0.8257953314291344,0.025237326900802957,38
0.10961532592773438,0.014891408124140916,0.008681535720825195,0.0016876153917227898,30,1,2,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8111888111888111,0.7552447552447552,0.8380281690140845,0.7816901408450704,0.8380281690140845,0.8048360090613611,0.03236918513065724,104
0.191788911819458,0.01886572332787788,0.014423465728759766,0.003400534653630611,30,1,2,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8041958041958042,0.7552447552447552,0.8028169014084507,0.7746478873239436,0.8380281690140845,0.7949867034374076,0.028255184243168755,107
0.3817293643951416,0.03019956445736159,0.025643682479858397,0.005404960932674697,30,1,2,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8041958041958042,0.7482517482517482,0.8169014084507042,0.7816901408450704,0.8380281690140845,0.7978134541514823,0.030785163980613435,105
0.09845561981201172,0.007249393122102164,0.007813739776611327,0.0006006267306177766,30,1,5,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8041958041958042,0.7762237762237763,0.8169014084507042,0.7887323943661971,0.8450704225352113,0.8062247611543386,0.02380392767844291,102
0.20025873184204102,0.021163547378098117,0.014315986633300781,0.0026342542845509583,30,1,5,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8111888111888111,0.7902097902097902,0.8309859154929577,0.7816901408450704,0.8450704225352113,0.8118290160543682,0.02386684096479987,94
